שם הצעת החוק,מדרג,מספר חוק,ניקוד לחוק,קישור להצעה,הסבר הדירוג,הערות אחרות,הגיע להצבעה?,עבר?,יוזם ראשון,חתומים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הצעת חוק הגנת הצרכן (תיקון - איסור גביית עמלה בהרשאה לחיוב חשבון בהוראת קבע), התשפ'ג-2022",,פ\25\220,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2197263,,,0,0,אורי מקלב,משה גפני,יעקב אשר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אורי מקלבמשה גפנייעקב אשר
"הצעת חוק להגנה על חיילי צה'ל וגורמים ישראלים אחרים מתלונות שווא של הרשות הפלסטינית, התשפ'ג-2022",,פ\25\221,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2196228,,,0,0,אבי דיכטר,עמיחי שיקלי,שלום דנינו,משה סעדה,טלי גוטליב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אבי דיכטרעמיחי שיקלישלום דנינומשה סעדהטלי גוטליב
"הצעת חוק איסור הפליה במוצרים, בשירותים ובכניסה למקומות בידור ולמקומות ציבוריים (תיקון - פגיעה באמונה דתית), התשפ'ג-2022",dup_laws_bot,פ\25\222,2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2197435,"תמיכה בחופש העיסוק במקרים ספציפיים, חבל שזה מוגבל רק למקרים של אמונה דתית ראה חוק
פ/1225/23 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2087211",,0,0,אורית מלכה סטרוק,אופיר סופר,אוהד טל,משה סולומון,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אורית מלכה סטרוקאופיר סופראוהד טלמשה סולומון
"הצעת חוק להגנה על חיילי צה'ל וגורמים ישראלים אחרים מתלונות שווא של הרשות הפלסטינית, התשפ'ג-2022",,פ\25\223,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2197141,,,0,0,שרן מרים השכל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,שרן מרים השכל
"הצעת חוק האקלים, התשפ'ג-2022",,פ\25\224,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2197653,,,0,0,יוראי להב הרצנו,יסמין פרידמן,נעמה לזימי,מיכל שיר סגמן,סימון דוידסון,משה טור פז,ולדימיר בליאק,נאור שירי,מטי צרפתי הרכבי,רון כץ,דבי ביטון,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,יוראי להב הרצנויסמין פרידמןנעמה לזימימיכל שיר סגמןסימון דוידסוןמשה טור פזולדימיר בליאקנאור שירימטי צרפתי הרכבירון כץדבי ביטון
"הצעת חוק המאבק בטרור (תיקון - קנס חובה בעקבות הרשעה בגין עבירות טרור), התשפ'ג-2022",,פ\25\225,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2196299,,,0,0,אבי דיכטר,עמיחי שיקלי,שלום דנינו,משה סעדה,טלי גוטליב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אבי דיכטרעמיחי שיקלישלום דנינומשה סעדהטלי גוטליב
"הצעת חוק זכויות הדייר בדיור הציבורי (תיקון - זכאות לאם יחידנית המקבלת תשלומי מזונות מהמוסד לביטוח לאומי), ‏התשפ'ג-2022",,פ\25\226,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2197493,,,0,0,עאידה תומא סלימאן,עופר כסיף,יוסף עטאונה,איימן עודה,אחמד טיבי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,עאידה תומא סלימאןעופר כסיףיוסף עטאונהאיימן עודהאחמד טיבי
"הצעת חוק לתיקון פקודת התעבורה (הקמת מאגר מידע לריכוז דוחות חניה), התשפ'ג-2022",,פ\25\227,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2197548,,,0,0,נעמה לזימי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,נעמה לזימי
"הצעת חוק המאבק בטרור (תיקון - קנס חובה בעקבות הרשעה בגין עבירות טרור), התשפ'ג-2022",,פ\25\228,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2197144,,,0,0,שרן מרים השכל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,שרן מרים השכל
"הצעת חוק הנגשת מוצרי מחזור בגופים ציבוריים, התשפ'ג-2022",,פ\25\229,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2197551,,,0,0,נעמה לזימי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,נעמה לזימי
"הצעת חוק הדחת נציג ציבור התומך במאבק מזוין נגד מדינת ישראל (תיקוני חקיקה), התשפ'ג-2022",dup_laws_bot,פ\25\230,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2196810,"ראה חוק
פ/16/23 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085653",,0,0,שלמה קרעי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,שלמה קרעי
"הצעת חוק לתיקון פקודת בתי הסוהר (שלילת זכאות למימון שירותי בריאות משפרי איכות חיים לאסיר ביטחוני), התשפ""ג-2022",bignafcomp@gmail.com,פ/231/25,1,https://main.knesset.gov.il/activity/legislation/laws/pages/lawbill.aspx?t=lawsuggestionssearch&lawitemid=2196828,"ככלל, אנחנו מתנגדים למאסר כענישה. אך תומכים במאסר של מי שמסוכן לציבור. מי שמוגדר באסיר בטחוני לרוב מהווה סכנה לציבור לכן לגטימי להחזיק אותו במאסר. העלות למשלמי המיסים צריכה להיות מינימלית תוך כדי שמירה על צלם אנוש. ניתוחים קוסמטיים ושיפור תפקוד לא צריכים להיות מוטלים על משלמי המיסים.",,1,0,שרן מרים השכל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,שרן מרים השכל
"הצעת חוק הרשתות החברתיות, התשפ''ג-2022",dup_laws_bot,פ\25\232,-1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2197643,"התערבות מתונה בחוזה שבין משתמשים ברשת חברתית לבין הרשת. מתונה מכיוון שמאפשרת לחברה לבחור מעמד של רשת פטורה, ואף אם היא מוגבלת היא יכולה לקבוע את המדיניות שלה. התערבות בכך שמכפיפה אותה לחוקים נגד אפלייה וכדומה, כפייה של שיפוט ישראלי, כפייה של תזמונים ספציפיים וכדומה. ראה חוק
פ/2426/23 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2147572",,0,0,גלית דיסטל אטבריאן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,גלית דיסטל אטבריאן
"הצעת חוק הדחת נציג ציבור התומך במאבק מזוין נגד מדינת ישראל (תיקוני חקיקה), התשפ'ג-2022",,פ\25\233,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2197205,,,0,0,שרן מרים השכל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,שרן מרים השכל
"הצעת חוק לתיקון פקודת התעבורה (תשלום דמי חניה), התשפ'ג-2022",,פ\25\234,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2197571,,,0,0,נעמה לזימי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,נעמה לזימי
"הצעת חוק המים (תיקון - שקיפות פעילות הרשות הממשלתית), התשפ'ג-2022",,פ\25\235,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2195968,,,0,0,משה ארבל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,משה ארבל
"הצעת חוק החלת הריבונות הישראלית על בקעת הירדן, התשפ'ג-2022",,פ\25\236,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2196327,,,0,0,מיכאל מלכיאלי,אוריאל בוסו,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מיכאל מלכיאליאוריאל בוסו
"הצעת חוק החלת החוק הישראלי בשטח בקעת הירדן (הליך קבלת אזרחות), התשפ'ג-2022",,פ\25\237,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2196508,,,0,0,שרן מרים השכל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,שרן מרים השכל
"הצעת חוק הגנת הצרכן (תיקון - שובר זיכוי לנוסע ליעד באזהרת מסע חמורה), התשפ'ג-2022",,פ\25\238,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2195972,,,0,0,יבגני סובה,יוליה מלינובסקי,שרון ניר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,יבגני סובהיוליה מלינובסקישרון ניר
"הצעת חוק לתיקון פקודת התעבורה (הגבלת סכום אגרת רישיון רכב), התשפ'ג-2022",,פ\25\239,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2196364,,,0,0,אחמד טיבי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אחמד טיבי
"הצעת חוק ההכרה בענף הפוקר, התשפ'ג-2022",,פ\25\240,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2196574,,,0,0,שרן מרים השכל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,שרן מרים השכל
"הצעת חוק מכר סיטונאי חקלאי, התשפ'ג-2022",,פ\25\241,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2196595,,,0,0,שרן מרים השכל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,שרן מרים השכל
"הצעת חוק ההכרה בענף הפוקר, התשפ'ג-2022",,פ\25\242,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2197045,,,0,0,בועז טופורובסקי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,בועז טופורובסקי
"הצעת חוק הגנת הצרכן (תיקון - צמצום בזבוז מזון שתוקפו עומד לפוג ברשתות הקמעונאות הגדולות), התשפ'ג-2022",,פ\25\243,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2196142,,,0,0,יבגני סובה,יוליה מלינובסקי,שרון ניר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,יבגני סובהיוליה מלינובסקישרון ניר
"הצעת חוק לתיקון פקודת התעבורה (רישום סוג הדם ברישיון נהיגה), התשפ'ג-2022",,פ\25\244,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2196373,,,0,0,אחמד טיבי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אחמד טיבי
"הצעת חוק רשות שדות התעופה (תיקון - פטור מתשלום אגרה לסטודנטים הלומדים באוניברסיטאות בירדן), התשפ'ג-2022",,פ\25\245,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2196442,,,0,0,אחמד טיבי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אחמד טיבי
"הצעת חוק החומרים המסוכנים (תיקון - פרטי התקשרות למרכז רעלים), התשפ'ג-2022",dup_laws_bot,פ\25\246,-1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2197245,"הוצאה נוספת למי שמשווק מוצרים שהם רעל, יצטרכו לכתוב על התווית גם פרטי התקשרות למרכז הארצי להרעלות ראה חוק
פ/1976/24 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2160998",,0,0,אורי מקלב,משה גפני,יעקב אשר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אורי מקלבמשה גפנייעקב אשר
"הצעת חוק החלת ריבונות ישראל בשטח בקעת הירדן וצפון ים המלח, התשפ'ג-2022",,פ\25\247,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2196854,,,0,0,שלמה קרעי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,שלמה קרעי
"הצעת חוק הספקת החשמל (הוראת שעה) (תיקון - הארכת תוקף), התשפג-2022""",ypz1094@gmail.com,פ/248/25,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2196519,,,0,0,אחמד טיבי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אחמד טיבי
"הצעת חוק צירוף משפחות נפגעי טרור כצד להליך המשפטי (תיקוני חקיקה), התשפ'ג-2022",dup_laws_bot,פ\25\249,1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2197029,"נותן יותר כל לפרט. מאפשר למשפחות נפגעים להיות צד במשפט (גם צבאי) נגד מחבלים. ראה חוק
פ/921/24 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2157409",,0,0,שרן מרים השכל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,שרן מרים השכל
"הצעת חוק הבנקאות (שירות ללקוח) (תיקון - הקלת התנאים במתן הלוואה לרכישת דירה), התשפ'ג-2022",,פ\25\250,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2196711,,,0,0,שרן מרים השכל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,שרן מרים השכל
"הצעת חוק הכניסה לישראל (תיקון - רישיון מיוחד לישיבת ביקור), התשפ'ג-2022",,פ\25\251,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2196865,,,0,0,שלמה קרעי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,שלמה קרעי
"הצעת חוק להסדרת רעיית דבורים וייצור דבש, התשפ'ג-2022",,פ\25\252,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2196726,,,0,0,שרן מרים השכל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,שרן מרים השכל
"הצעת חוק הבנקאות (שירות ללקוח) (תיקון - הגבלת עמלת ערבות בנקאית שמובטחת בפיקדון כספי מסוים), התשפ'ג-2022",,פ\25\253,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2196821,,,0,0,שלמה קרעי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,שלמה קרעי
"הצעת חוק שירות ביטחון (תיקון - פטור מטעמי מצפון), התשפ'ג-2022",,פ\25\254,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2196930,,,0,0,אחמד טיבי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אחמד טיבי
"הצעת חוק לתיקון פקודת הבנקאות (הסכם הלוואה לדיור ללא עמלת היוון בשל פירעון מוקדם), התשפ'ג-2022",,פ\25\255,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2197075,,,0,0,ינון אזולאי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ינון אזולאי
"הצעת חוק הכרה ברצח העם הארמני וציון יום זיכרון, התשפ'ג-2022",,פ\25\256,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2196895,,,0,0,שרן מרים השכל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,שרן מרים השכל
"הצעת חוק שירות ביטחון (תיקון - פטור מטעמי מצפון), התשפ'ג-2022",dup_laws_bot,פ\25\257,-1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2197310,"מכיוון שאחד מחוקי היסוד הוא כבוד אדם וחירותו, ועוד אחד הוא חופש העיסוק (אבל כבר כולל פסקת התגברות), אנחנו לא מעוניינים להקל על חברי הכנסת להתגבר עליהם. ראה חוק
פ/254/24 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156570",,0,0,עאידה תומא סלימאן,יוסף עטאונה,עופר כסיף,איימן עודה,אחמד טיבי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,עאידה תומא סלימאןיוסף עטאונהעופר כסיףאיימן עודהאחמד טיבי
"הצעת חוק כרטיסי חיוב (תיקון - חובת פרסום פרטי ספק), התשפ'ג-2022",,פ\25\258,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2197277,,,0,0,אורי מקלב,משה גפני,יעקב אשר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אורי מקלבמשה גפנייעקב אשר
"הצעת חוק המוסיקה הישראלית, התשפ'ג-2022",,פ\25\259,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2197592,,,0,0,נעמה לזימי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,נעמה לזימי
"הצעת חוק הדיור הציבורי (זכויות רכישה) (תיקון - הארכת תוקף), התשפ""ג-2022",bignafcomp@gmail.com,פ/260/25,1,https://main.knesset.gov.il/activity/legislation/laws/pages/lawbill.aspx?t=lawsuggestionssearch&lawitemid=2197590,"את הדיור הציבורי יש לבטל. אם אפשר לבטל חלק ממנו על ידי מכירת הדירות במחירים מסובסדים, למרות שזה על חשבון משלמי המיסים, זה עדיין חיובי.",,1,0,נעמה לזימי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,נעמה לזימי
"הצעת חוק האזרחות והכניסה לישראל (הוראת שעה) (תיקון - ביטול החוק), התשפ'ג-2022",,פ\25\261,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2197485,,,0,0,עאידה תומא סלימאן,עופר כסיף,יוסף עטאונה,איימן עודה,אחמד טיבי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,עאידה תומא סלימאןעופר כסיףיוסף עטאונהאיימן עודהאחמד טיבי
