קישור, שם, מספר חדש, דירוג, מספר קודם
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156942,"הצעת חוק צער בעלי חיים (הגנה על בעלי חיים) (תיקון - איסור משלוחים חיים לשחיטה), התשפ'א-2021",פ\24\326,-1,פ/169/22
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156942,"הצעת חוק צער בעלי חיים (הגנה על בעלי חיים) (תיקון - איסור משלוחים חיים לשחיטה), התשפ'א-2021",פ\24\326,-1,פ/172/22
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156942,"הצעת חוק צער בעלי חיים (הגנה על בעלי חיים) (תיקון - איסור משלוחים חיים לשחיטה), התשפ'א-2021",פ\24\326,-1,פ/174/22
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156942,"הצעת חוק צער בעלי חיים (הגנה על בעלי חיים) (תיקון - איסור משלוחים חיים לשחיטה), התשפ'א-2021",פ\24\326,-1,פ/175/22
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156942,"הצעת חוק צער בעלי חיים (הגנה על בעלי חיים) (תיקון - איסור משלוחים חיים לשחיטה), התשפ'א-2021",פ\24\326,-1,פ/96/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156942,"הצעת חוק צער בעלי חיים (הגנה על בעלי חיים) (תיקון - איסור משלוחים חיים לשחיטה), התשפ'א-2021",פ\24\326,-1,פ/391/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156942,"הצעת חוק צער בעלי חיים (הגנה על בעלי חיים) (תיקון - איסור משלוחים חיים לשחיטה), התשפ'א-2021",פ\24\326,-1,פ/395/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156942,"הצעת חוק צער בעלי חיים (הגנה על בעלי חיים) (תיקון - איסור משלוחים חיים לשחיטה), התשפ'א-2021",פ\24\326,-1,פ/96/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2157074,"הצעת חוק התכנון והבנייה (תיקון - חובת שידור והקלטת ישיבות, ניהול פרוטוקול ופרסומו), התשפ'א-2021",פ\24\310,1,פ/991/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2157074,"הצעת חוק התכנון והבנייה (תיקון - חובת שידור והקלטת ישיבות, ניהול פרוטוקול ופרסומו), התשפ'א-2021",פ\24\310,1,פ/991/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2157161,"הצעת חוק המים (תיקון - שקיפות פעילות הרשות הממשלתית), התשפ'א-2021",פ\24\316,,פ/1586/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2157161,"הצעת חוק המים (תיקון - שקיפות פעילות הרשות הממשלתית), התשפ'א-2021",פ\24\316,,פ/1586/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2157393,"הצעת חוק הבנקאות (שירות ללקוח) (תיקון - חובת הצבת מכשיר אוטומטי למשיכת והפקדת מזומנים ושיקים), התשפ'א-2021",פ\24\384,,פ/458/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2157393,"הצעת חוק הבנקאות (שירות ללקוח) (תיקון - חובת הצבת מכשיר אוטומטי למשיכת והפקדת מזומנים ושיקים), התשפ'א-2021",פ\24\384,,פ/458/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156094,"הצעת חוק-יסוד: כבוד האדם וחירותו (תיקון - פסקת התגברות)",פ\24\191,,פ/533/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156094,"הצעת חוק-יסוד: כבוד האדם וחירותו (תיקון - פסקת התגברות)",פ\24\191,,פ/533/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156119,"הצעת חוק דחיית תשלומי מס לעסק חדש (תיקוני חקיקה), התשפ'א-2021",פ\24\125,2,פ/2178/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156923,"הצעת חוק הגנת הצרכן (תיקון - איסור הפליית מחירים בשל מגדר), התשפ'א-2021",פ\24\163,,פ/765/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156923,"הצעת חוק הגנת הצרכן (תיקון - איסור הפליית מחירים בשל מגדר), התשפ'א-2021",פ\24\163,,פ/765/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156955,"הצעת חוק להגדלת שיעור ההשתתפות בכוח העבודה ולצמצום פערים חברתיים (מענק עבודה) (תיקון - גיל העובד), התשפ'א-2021",פ\24\172,0,פ/73/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2157180,"הצעת חוק למניעת תשדירי פרסומת פוגעניים (תיקוני חקיקה), התשפ'א-2021",פ\24\317,,פ/1003/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2157180,"הצעת חוק למניעת תשדירי פרסומת פוגעניים (תיקוני חקיקה), התשפ'א-2021",פ\24\317,,פ/1003/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156158,"הצעת חוק נישואין וגירושין, התשפ'א-2021",פ\24\396,1,פ/535/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156158,"הצעת חוק נישואין וגירושין, התשפ'א-2021",פ\24\396,1,פ/535/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156387,"הצעת חוק-יסוד: נשיא המדינה (תיקון - איסור מועמדות וכהונה לנאשם או מורשע בפלילים)",פ\24\249,0,פ/1847/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156555,"הצעת חוק-יסוד: הכנסת (תיקון - סמכויות ועדת חקירה פרלמנטרית)",פ\24\25,,פ/1673/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156655,"הצעת חוק מס ערך מוסף (תיקון - מועד הוצאת חשבונית מס), התשפ'א-2021",פ\24\207,,פ/467/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156655,"הצעת חוק מס ערך מוסף (תיקון - מועד הוצאת חשבונית מס), התשפ'א-2021",פ\24\207,,פ/467/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156712,"הצעת חוק לפיקוח על הפעלת צהרונים (תיקון - אמות המידה לקביעת מחיר חודשי מרבי ושיעור השתתפות המדינה), התשפ'א-2021",פ\24\258,-3,פ/2182/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156787,"הצעת חוק הביטוח הלאומי (תיקון - דמי אבטלה לעצמאים), התשפ'א-2021",פ\24\260,,פ/715/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156787,"הצעת חוק הביטוח הלאומי (תיקון - דמי אבטלה לעצמאים), התשפ'א-2021",פ\24\260,-2,פ/1784/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156787,"הצעת חוק הביטוח הלאומי (תיקון - דמי אבטלה לעצמאים), התשפ'א-2021",פ\24\260,-2,פ/1784/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156987,"הצעת חוק לתיקון פקודת מס הכנסה (טיפול נפשי כהוצאה מוכרת), התשפ'א-2021",פ\24\240,-1,פ/2395/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156493,"הצעת חוק תקופת לידה והורות להורים (תיקוני חקיקה), התשפ'א-2021",פ\24\281,,פ/1401/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156493,"הצעת חוק תקופת לידה והורות להורים (תיקוני חקיקה), התשפ'א-2021",פ\24\281,,פ/1401/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156542,"הצעת חוק לימוד חובה (תיקון - חינוך חינם לפעוטות ולילדים), התשפ'א-2021",פ\24\289,-3,פ/42/22
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156542,"הצעת חוק לימוד חובה (תיקון - חינוך חינם לפעוטות ולילדים), התשפ'א-2021",פ\24\289,-3,פ/613/22
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156542,"הצעת חוק לימוד חובה (תיקון - חינוך חינם לפעוטות ולילדים), התשפ'א-2021",פ\24\289,-3,פ/1364/22
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156542,"הצעת חוק לימוד חובה (תיקון - חינוך חינם לפעוטות ולילדים), התשפ'א-2021",פ\24\289,-3,פ/505/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156542,"הצעת חוק לימוד חובה (תיקון - חינוך חינם לפעוטות ולילדים), התשפ'א-2021",פ\24\289,-3,פ/505/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156974,"הצעת חוק תגמולים לאסירי ציון ולבני משפחותיהם (תיקון מס' 9) (שינוי מועד יום ציון פועלם של אסירי ציון וקביעת פעולות לציונו), התשפ'ב-2022",פ\24\296,0,פ/1013/22
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156974,"הצעת חוק תגמולים לאסירי ציון ולבני משפחותיהם (תיקון מס' 9) (שינוי מועד יום ציון פועלם של אסירי ציון וקביעת פעולות לציונו), התשפ'ב-2022",פ\24\296,0,פ/1013/22
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156237,"הצעת חוק המרכז להנצחת מורשתו של הנשיא יצחק נבון, התשפ'א-2021",פ\24\203,,פ/580/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156237,"הצעת חוק המרכז להנצחת מורשתו של הנשיא יצחק נבון, התשפ'א-2021",פ\24\203,-1,פ/599/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156237,"הצעת חוק המרכז להנצחת מורשתו של הנשיא יצחק נבון, התשפ'א-2021",פ\24\203,-1,פ/599/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156480,"הצעת חוק התכנון והבנייה (תיקון - חדרי הנקה בבניינים ציבוריים), התשפ'א-2021",פ\24\5,-2,פ/167/22
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156480,"הצעת חוק התכנון והבנייה (תיקון - חדרי הנקה בבניינים ציבוריים), התשפ'א-2021",פ\24\5,-2,פ/728/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156748,"הצעת חוק סייעות במוסדות חינוך, התשפ'א-2021",פ\24\278,-3,פ/964/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156748,"הצעת חוק סייעות במוסדות חינוך, התשפ'א-2021",פ\24\278,-3,פ/964/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2157005,"הצעת חוק גיל פרישה (תיקון - העלאת גיל הפרישה לנשים וקביעת צעדים תומכים לנשים בגילאי העבודה), התשפ'א-2021",פ\24\241,,פ/631/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2157005,"הצעת חוק גיל פרישה (תיקון - העלאת גיל הפרישה לנשים וקביעת צעדים תומכים לנשים בגילאי העבודה), התשפ'א-2021",פ\24\241,,פ/1350/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156073,"הצעת חוק התניית יום שבתון בהצבעה בבחירות (תיקוני חקיקה), התשפ'א-2021",פ\24\206,1,פ/929/22
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156073,"הצעת חוק התניית יום שבתון בהצבעה בבחירות (תיקוני חקיקה), התשפ'א-2021",פ\24\206,1,פ/917/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156326,"הצעת חוק לתיקון פקודת הראיות (פסילת ראיה), התשפ'א-2021",פ\24\244,2,פ/69/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156326,"הצעת חוק לתיקון פקודת הראיות (פסילת ראיה), התשפ'א-2021",פ\24\244,2,פ/69/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156660,"הצעת חוק התכנון והבנייה (תיקון - שומה מתוקנת מוסכמת), התשפ'א-2021",פ\24\35,0,פ/326/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156660,"הצעת חוק התכנון והבנייה (תיקון - שומה מתוקנת מוסכמת), התשפ'א-2021",פ\24\35,0,פ/512/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156660,"הצעת חוק התכנון והבנייה (תיקון - שומה מתוקנת מוסכמת), התשפ'א-2021",פ\24\35,0,פ/512/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156807,"הצעת חוק הגבלת מימון מפעלים מזהמים (תיקוני חקיקה), התשפ'א-2021",פ\24\222,,פ/1989/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156807,"הצעת חוק הגבלת מימון מפעלים מזהמים (תיקוני חקיקה), התשפ'א-2021",פ\24\222,,פ/1989/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156977,"הצעת חוק הגנת הצרכן (תיקון - השוואת תנאי צרכן ועוסק בעניין החזרת טובין), התשפ'א-2021",פ\24\265,,פ/1810/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156977,"הצעת חוק הגנת הצרכן (תיקון - השוואת תנאי צרכן ועוסק בעניין החזרת טובין), התשפ'א-2021",פ\24\265,,פ/1810/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2157009,"הצעת חוק לתיקון פקודת מסילות הברזל (פטור מתשלום דמי נסיעה לעגלת ילדים), התשפ'א-2021",פ\24\247,0,פ/2322/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156529,"הצעת חוק הביטוח הלאומי (תיקון -  מענק לידה אחיד מילד שני ואילך), התשפ'א-2021",פ\24\284,,פ/234/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156529,"הצעת חוק הביטוח הלאומי (תיקון -  מענק לידה אחיד מילד שני ואילך), התשפ'א-2021",פ\24\284,,פ/234/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156570,"הצעת חוק-יסוד: ההתגברות (תיקוני חקיקה)",פ\24\254,,פ/532/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156570,"הצעת חוק-יסוד: ההתגברות (תיקוני חקיקה)",פ\24\254,,פ/532/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156055,"הצעת חוק שירות המדינה (מינויים) (תיקון - הכרה בלימודים תורניים גבוהים לעניין תנאי סף), התשפ'א-2021",פ\24\272,,פ/788/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156055,"הצעת חוק שירות המדינה (מינויים) (תיקון - הכרה בלימודים תורניים גבוהים לעניין תנאי סף), התשפ'א-2021",פ\24\272,,פ/788/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156175,"הצעת חוק יישום תכנית ההתנתקות (תיקון - ביטול סעיפי הפינוי ושינוי שם החוק), התשפ'א-2021",פ\24\356,,פ/2016/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156175,"הצעת חוק יישום תכנית ההתנתקות (תיקון - ביטול סעיפי הפינוי ושינוי שם החוק), התשפ'א-2021",פ\24\356,,פ/2016/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156339,"הצעת חוק זכויות הדייר בדיור הציבורי (תיקון - סיוע ריאלי בשכר דירה), התשפ'א-2021",פ\24\365,,פ/393/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156339,"הצעת חוק זכויות הדייר בדיור הציבורי (תיקון - סיוע ריאלי בשכר דירה), התשפ'א-2021",פ\24\365,,פ/393/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156390,"הצעת חוק בתי המשפט (תיקון - שקיפות הליכים משפטיים), התשפ'א-2021",פ\24\372,1,פ/918/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156390,"הצעת חוק בתי המשפט (תיקון - שקיפות הליכים משפטיים), התשפ'א-2021",פ\24\372,1,פ/918/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156409,"הצעת חוק הבנקאות (שירות ללקוח) (תיקון - מועדי החזר של הלוואה לדיור), התשפ'א-2021",פ\24\97,,פ/199/23
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156409,"הצעת חוק הבנקאות (שירות ללקוח) (תיקון - מועדי החזר של הלוואה לדיור), התשפ'א-2021",פ\24\97,,פ/199/23
